1970	1970-04-12	5	3106	MR. SAMMLERS PLANET	Saul Bellow
1970	1970-04-12	6	5221	THE GANG THAT COULDN'T SHOOT STRAIGHT	Jimmy Breslin
1970	1970-04-12	7	1411	DELIVERANCE	James Dickey
1970	1970-04-12	8	5436	THE HOUSE ON THE STRAND	Daphne du Maurier
1970	1970-04-12	9	49	A BEGGAR IN JERUSALEM	Elie Wiesel
1970	1970-04-12	10	5471	THE INHERITORS	Harold Robbins
1970	1970-04-19	1	5206	THE FRENCH LIEUTENANT'S WOMAN	John Fowles
1970	1970-04-19	2	2816	LOVE STORY	Erich Segal
1970	1970-04-19	3	5279	THE GODFATHER	Mario Puzo
1970	1970-04-19	4	1411	DELIVERANCE	James Dickey
1970	1970-04-19	5	6956	TRAVELS WITH MY AUNT	Graham Greene
1970	1970-04-19	6	5221	THE GANG THAT COULDN'T SHOOT STRAIGHT	Jimmy Breslin
1970	1970-04-19	7	3106	MR. SAMMLERS PLANET	Saul Bellow
1970	1970-04-19	8	5436	THE HOUSE ON THE STRAND	Daphne du Maurier
1970	1970-04-19	9	3378	ONE HUNDRED YEARS OF SOLITUDE	Gabriel Garcia Marquez
1970	1970-04-19	10	49	A BEGGAR IN JERUSALEM	Elie Wiesel
1970	1970-04-26	1	5206	THE FRENCH LIEUTENANT'S WOMAN	John Fowles
1970	1970-04-26	2	2816	LOVE STORY	Erich Segal
1970	1970-04-26	3	1411	DELIVERANCE	James Dickey
1970	1970-04-26	4	6956	TRAVELS WITH MY AUNT	Graham Greene
1970	1970-04-26	5	5221	THE GANG THAT COULDN'T SHOOT STRAIGHT	Jimmy Breslin
1970	1970-04-26	6	5279	THE GODFATHER	Mario Puzo
1970	1970-04-26	7	3106	MR. SAMMLERS PLANET	Saul Bellow
1970	1970-04-26	8	49	A BEGGAR IN JERUSALEM	Elie Wiesel
1970	1970-04-26	9	5436	THE HOUSE ON THE STRAND	Daphne du Maurier
1970	1970-04-26	10	5471	THE INHERITORS	Harold Robbins
1970	1970-05-03	1	5206	THE FRENCH LIEUTENANT'S WOMAN	John Fowles
1970	1970-05-03	2	2816	LOVE STORY	Erich Segal
1970	1970-05-03	3	1411	DELIVERANCE	James Dickey
1970	1970-05-03	4	5279	THE GODFATHER	Mario Puzo
1970	1970-05-03	5	6956	TRAVELS WITH MY AUNT	Graham Greene
1970	1970-05-03	6	3106	MR. SAMMLERS PLANET	Saul Bellow
1970	1970-05-03	7	5221	THE GANG THAT COULDN'T SHOOT STRAIGHT	Jimmy Breslin
1970	1970-05-03	8	49	A BEGGAR IN JERUSALEM	Elie Wiesel
1970	1970-05-03	9	2050	GREAT LION OF GOD	Taylor Caldwell
1970	1970-05-03	10	5436	THE HOUSE ON THE STRAND	Daphne du Maurier
1970	1970-05-10	1	2816	LOVE STORY	Erich Segal
1970	1970-05-10	2	5206	THE FRENCH LIEUTENANT'S WOMAN	John Fowles
1970	1970-05-10	3	1411	DELIVERANCE	James Dickey
1970	1970-05-10	4	6956	TRAVELS WITH MY AUNT	Graham Greene
1970	1970-05-10	5	2783	LOSING BATTLES	Eudora Welty
1970	1970-05-10	6	5279	THE GODFATHER	Mario Puzo
1970	1970-05-10	7	5221	THE GANG THAT COULDN'T SHOOT STRAIGHT	Jimmy Breslin
1970	1970-05-10	8	2050	GREAT LION OF GOD	Taylor Caldwell
1970	1970-05-10	9	2741	LOCAL ANESTHETIC	Gunter Grass
1970	1970-05-10	10	3106	MR. SAMMLERS PLANET	Saul Bellow
1970	1970-05-17	1	2816	LOVE STORY	Erich Segal
1970	1970-05-17	2	5206	THE FRENCH LIEUTENANT'S WOMAN	John Fowles
1970	1970-05-17	3	1411	DELIVERANCE	James Dickey
1970	1970-05-17	4	6956	TRAVELS WITH MY AUNT	Graham Greene
1970	1970-05-17	5	5279	THE GODFATHER	Mario Puzo
1970	1970-05-17	6	2783	LOSING BATTLES	Eudora Welty
1970	1970-05-17	7	2050	GREAT LION OF GOD	Taylor Caldwell
1970	1970-05-17	8	3106	MR. SAMMLERS PLANET	Saul Bellow
1970	1970-05-17	9	5221	THE GANG THAT COULDN'T SHOOT STRAIGHT	Jimmy Breslin
1970	1970-05-17	10	902	CALICO PALACE	Gwen Bristow
